FID,PRECINCTID,PRECINCT
1,203,Agudas Achim Congregation
2,109,Fire Department Headquarters
4,305,John Adams School
6,209,James K. Polk School
5,306,William Ramsay Rec. Center
3,101,Ladrey Senior Building
9,102,City Hall
8,104,Durant Center
10,207,Temple Beth El Synagogue
7,302,Patrick Henry Rec Center
11,202,George Mason School
12,204,Blessed Sacrament Church
17,307,South Port Apts.
13,201,Maury School
14,205,Douglas MacArthur School
15,206,Chinquapin Park Recreation Center
16,303,Beatley Library
18,308,Cameron Station Community Center
20,208,NOVA Arts Center
19,304,Tucker School
21,210,St. James Church
22,108,George Washington Middle School
24,105,Lee Center
26,107,Mt. Vernon Rec. Center
23,103,Lyles Crouch School
25,106,Cora Kelly Center
