OBJECTID,STREETS
1001,"LAS CORRALES CT,CAMINO REAL SOUTH"
1002,"ABBEY ARCH,BISHOP DR"
1003,"CHAPEL LAKE DR,CHAPEL LAWN DR"
1004,"SOUTHLEAF DR,LODGEPOLE DR"
1005,"ARCTIC AVE,23RD HALF ST"
1006,"TRAVIS PKWY,ALANTON DR"
1007,"CONTINENTAL ST,PALADIN DR"
1008,"POTTERS RD,MITCHER BLVD"
1009,"BAYVILLE RD,BATTERY RD"
1010,"WICOMICO CT,FOXON RD"
1011,"AMBERLEY FOREST RD,FIELDSTONE CIR"
1012,"FERNCLIFF CT,RIVER OAK CIR"
1013,"MOULTRIE CT,MOULTRIE CIR"
1014,"MOULTRIE CIR,HAYGOOD POINT RD"
1015,"JAMES MADISON BLVD,GEORGE MASON DR"
1016,"CANTERFORD LN,BRENDLE CT"
1017,"21ST ST,PACIFIC AVE"
1018,"WOLFSNARE RD,N GREAT NECK RD,S WOLFSNARE DR"
1019,"GREEN MEADOWS DR,LODGEPOLE DR"
1020,"MARLWOOD WAY,WELLER BLVD"
1021,"PARSONS LN,RYLANDS RD"
1022,"NEWSTEAD DR,WHITESTONE WAY"
1023,"LOS COLONIS DR,TREVINO CT"
1024,"SAVANNAH WAY,INDIAN RIVER RD"
1025,"FIELDSTONE GLEN WAY,ABELIA WAY"
1026,"SILINA DR,GARRISON PL"
1027,"CASSADY AVE,MAVERICK ST"
1028,"STEWART DR,CANMORE RD"
1029,"KEMPSVILLE GREENS PKWY,GATWICK DR"
1030,"CAMINO REAL SOUTH,ACAPULCO CT"
1031,"LIMERICK LN,LOUGH LN,DUNLOE DR"
1032,"CHAPEL LAKE DR,CHAPEL WOOD DR"
1033,"SUNRISE DR,ODESSA DR"
1034,"SEDGEWICK CT,SEDGEWICK DR"
1035,"CHESTER ST,REMUS LN"
1036,"BELLS RD,OCEANA BLVD"
1037,"ARAGON DR,BIRCHWOOD RD"
1038,"HOLLY RD,KILBOURNE CT"
1039,"DE LA FAYETTE CT,SHIPPEN CT"
1040,"LE COVE DR,MONTICELLO DR"
1041,"BOB JONES DR,TONY LEMA LN"
1042,"FERRY POINT RD,BRITTINGHAM CT"
1043,"WINTERBERRY LN,PRINCESS ANNE RD"
1044,"S LYNNHAVEN RD,BRAVES TRL"
1045,"AEGIS ST,DAM NECK RD"
1046,"RIVER OAK DR,RIVER OAK CIR"
1047,"TOWNFIELD LN,FALLING SUN LN,RISING SUN ARCH"
1048,"26TH ST,BALTIC AVE"
1049,"HOLSTON CIR,MARKHAM CT"
1050,"YOUNG ST,RYLANDS RD"
1051,"INDIAN RIVER RD,BRADEN CT"
1052,"YORKTOWN BLVD,FRONT ROYAL RD"
1053,"PENNYWHISTLE ARCH,CANMORE RD"
1054,"NIMMO PKWY,GLEBE RD"
1055,"GAINES MILL DR,WYNCLIFF CT"
1056,"LYNN SHORES DR,HONEYTREE LN"
1057,"LEE CT,GULLS QUAY,LEE AVE"
1058,"HILBER ST,WAVERLY DR"
1059,"BAUGH CT,FALLING SUN LN"
1060,"LARK ST,DAUPHIN LN"
1061,"HILLCREST FARMS BLVD,INDIAN RIVER RD,HILLCREST MEADOWS LN"
1062,"HAYGOOD RD,FERRY PLANTATION RD"
1063,"24TH ST,ARCTIC AVE"
1064,"ENTRADA DR,ALCON CT"
1065,"N BAY SHORE DR,S BAY SHORE DR,BAY COLONY DR"
1066,"PILLOW DR,PILLOW CT"
1067,"KILBOURNE CT,WIIGWAAS LN"
1068,"PRESTWICK ST,WHITLOW ST"
1069,"KINGS CREEK DR,VERONICA DR"
1070,"CHESWICK LN,WESTBROOK CT"
1071,"GUNSTON HALL DR,IWO JIMA RD"
1072,"LASKIN RD,VIRGINIA BEACH BLVD"
1073,"LYNN SHORES DR,GREENCASTLE LN"
1074,"HOOD DR,GENERAL HILL DR"
1075,"CHARITY NECK RD,ROBINSON RD"
1076,"FAIR MEADOWS RD,LARRY AVE"
1077,"TARAWA RD,TARAWA CT"
1078,"E SPARROW RD,PINEWOOD CT"
1079,"CRABTREE LN,LYNN SHORES DR"
1080,"BARRY ST,PALADIN DR"
1081,"264,S ROSEMONT RD"
1082,"WEYBRIDGE DR,LONDON BRIDGE RD"
1083,"VAUGHAN TOWN CT,VAUGHAN RD"
1084,"AMBERLY RD,ANVERS RD"
1085,"MADEIRA RD,RYLANDS RD"
1086,"EDWIN DR,MEADOWS DR,GREEN VALLEY DR"
1087,"ATLANTIC AVE,20TH ST"
1088,"FIELDSTONE GLEN WAY,MYRICA PL"
1089,"CANADIAN ARCH,BUCKNER BLVD,LASALLE DR"
1090,"LYNN SHORES DR,HOLBROOK RD"
1091,"LE COVE DR,GLEN ARDEN RD"
1092,"N WOLFSNARE DR,PLANTATION DR,S WOLFSNARE DR"
1093,"FERRY PLANTATION RD,FERRY PLANTATION CIR"
1094,"BONNEY RD,BONNEYS QUAY"
1095,"INDIAN RIVER RD,BRIDLE WAY"
1096,"HOLSTON CIR,REMINGTON CT"
1097,"STUMPY LAKE LN,DITAS CT"
1098,"MATTAPONI RD,GEORGE MASON DR"
1099,"DONEGAL DR,LOUGH LN"
1100,"26TH HALF ST,BALTIC AVE"
1101,"KEMPSVILLE GREENS PKWY,GATWICK DR"
1102,"LARCHWOOD DR,FLAX MILL DR"
1103,"STRICKLAND BLVD,INDIAN RIVER RD"
1104,"LYNN SHORES DR,THALIA DR"
1105,"KEMPSVILLE RD,CAPTAINS RUN"
1106,"EWELL RD,W FERRY PLANTATION RD,POOL SIDE RD,FERRY PLANTATION RD"
1107,"ASHBURY LN,WELLER BLVD"
1108,"GOTHAM RD,ANSON LN"
1109,"BARROW ST,BOWERY ST"
1110,"CASSELBERRY LN,DUNMOOR CT"
1111,"AIR STATION DR,POTTERS RD"
1112,"CAPTAINS RUN,COLEBROOK DR"
1113,"FIELDSTONE PL,FIELDSTONE CIR"
1114,"VIKING AVE,REGULUS AVE"
1115,"LIMERICK LN,DINGLE DR"
1116,"DEER LAKE DR,FERN LAKE CT"
1117,"ARCHDALE DR,INGLEWOOD LN,GAINES MILL DR"
1118,"LAS BRISAS DR,CAMINO REAL SOUTH"
1119,"ABBEY ARCH,BISHOP DR,ABBEY DR"
1120,"LINEBERRY RD,LINEBERRY CT"
1121,"22ND ST,PACIFIC AVE"
1122,"CAMINO REAL SOUTH,GRANADA CT"
1123,"LE COVE DR,CHESSIE CT"
1124,"CALLAHAN CT,NESBITT DR"
1125,"LAMBOURNE LN,PLUMSTEAD DR"
1126,"DE LA FAYETTE CT,SEINE CT"
1127,"24TH HALF ST,ARCTIC AVE"
1128,"CHESTER ST,CASSADY AVE"
1129,"SILINA DR,BARCELONA LN"
1130,"SEEMAN RD,HONEYTREE LN"
1131,"INDIAN RIVER RD,LIFETIME CIR"
1132,"AMBERLEY FOREST RD,NORTHTREE PL"
1133,"RICA DR,RICA CT"
1134,"UPTON DR,NIMMO PKWY"
1135,"GAINES MILL DR,LARCHWOOD DR"
1136,"WESTERLY TRL,REDWOOD CIR"
1137,"ALBRIGHT DR,WHITLOW ST"
1138,"BOWERY ST,BLEECKER ST"
1139,"WAYNE ST,PALADIN DR"
1140,"27TH ST,BALTIC AVE"
1141,"CAPTAINS RUN,CAPTAINS CT"
1142,"SHORE DR,LOUGH LN"
1143,"CAREN DR,EDINBURGH DR"
1144,"FLORENCE ST,DAUPHIN LN"
1145,"CONCERT DR,UNIVERSITY DR"
1146,"OLIVIA CT,N INLYNNVIEW RD"
1147,"GENERAL LONGSTREET DR,PILLOW DR"
1148,"AGECROFT RD,HICKMAN ARCH"
1149,"GREENWICH RD,BARROW ST"
1150,"N ROSEMONT RD,BONNEY RD,S ROSEMONT RD"
1151,"PRINCESS ANNE RD,OLD PUNGO FERRY RD"
1152,"NEWTOWN RD,ELAM AVE"
1153,"LAKE CHRISTOPHER DR,CAPTAINS RUN"
1154,"SABRE ST,S LYNNHAVEN RD"
1155,"MAVERICK ST,COLONEL CIR"
1156,"WICOMICO CT,WICOMICO LN"
1157,"CANTERFORD LN,BRENLAND CIR"
1158,"CREDLE RD,OCEANA BLVD"
1159,"FIVE POINT RD,PILLOW DR"
1160,"SUNRISE DR,ARAGON DR"
1161,"SEDGEWICK DR,BILTMORE DR"
1162,"LOWTHER DR,LARRY AVE"
1163,"BETHUNE DR,CAMERON LN"
1164,"KLINE DR,LYNNDALE RD"
1165,"CASSELBERRY LN,MOORLAND DR"
1166,"WINDY RD,LOOKOUT RD"
1167,"SCOTCHTOWN DR,RAVENEL CT"
1168,"WHITESTONE WAY,FIDDLERS GREEN CT"
1169,"DAHLIA DR,OLD LYNE RD"
1170,"OLD LYNE RD,EASTHAM RD"
1171,"NEWSTEAD DR,BROOKHILL CT"
1172,"N INLYNNVIEW RD,BRITANNICA PL"
1173,"TALL OAK DR,TALL OAK CT"
1174,"PINEBROOK DR,PINEBROOK CT"
1175,"CHESTERBROOK DR,INDIAN RIVER RD"
1176,"DUBLIN CT,LANKFORD CT"
1177,"ST JAMES DR,PEMBROKE BLVD,BISHOP DR"
1178,"DE LA FAYETTE CT,HAYGOOD POINT RD"
1179,"OLD LYNE RD,MARBLEHEAD DR"
1180,"PROVIDENCE RD,REON DR"
1181,"LYNNHAVEN PKWY,CROWSFOOT LN,CROWSFOOT CT"
1182,"LEWISHAM WAY,WEYBRIDGE DR"
1183,"WHITESTONE WAY,ELMINGTON CIR"
1184,"WILLIAMS FARM RD,PLANTERS CT"
1185,"S STREAMLINE DR,AIR STATION DR"
1186,"INDIAN RIVER RD,REGENT UNIVERSITY DR"
1187,"ELBOW RD,TREYSON TRL"
1188,"BOWERY ST,BLEECKER ST"
1189,"FERRY POINT RD,CHISMAN CT"
1190,"LOS COLONIS DR,RIO BRAVO BND,SANTIAGO PT"
1191,"BRUTON LN,GUNSTON RD"
1192,"HILBER ST,PALADIN DR"
1193,"BROOKE RD,PLANTATION DR"
1194,"ATLANTIC AVE,21ST ST"
1195,"WOODS EDGE RD,WELLER BLVD"
2001,"ARCHDALE DR,ARCHDALE CT"
1196,"RED COAT CT,RED COAT RD"
1197,"BOB JONES DR,SAM BATES CT"
1198,"S BAY SHORE DR,BRUTON LN,GUNSTON RD"
1199,"WINTERBERRY LN,TWINFLOWER LN"
1200,"EAST BROOK CIR,WHITESTONE WAY,GLEN RAY CT"
1201,"BONNEY RD,WINDBROOKE LN"
1202,"AMBERLEY FOREST RD,HEARTHSIDE LN"
1203,"AMBERLY RD,BOWMAN RD"
1204,"N INLYNNVIEW RD,RIDLEY PL"
1205,"TERRAZZO TRL,VALIANT AVE"
1206,"SIMPKINS LN,DODD DR"
1207,"S LYNNHAVEN RD,LEE HIGHLANDS BLVD"
1208,"25TH ST,ARCTIC AVE"
1209,"ADAIR DR,ADAIR CT"
1210,"BARROW ST,BOWERY ST"
1211,"HERON POINT CIR,LYNN SHORES DR"
1212,"MACDONALD RD,BALLYLINN RD"
1213,"ROARING SPRINGS DR,WHITESTONE WAY"
1214,"TREYSON TRL,MADISON MEWS DR"
1215,"NIMMO PKWY,MILL CROSSING DR"
1216,"ALBRIGHT DR,PENNYWHISTLE ARCH"
1217,"DINGLE DR,DONEGAL DR"
1218,"FAIR MEADOWS RD,COLISS AVE"
1219,"NORTH LANDING RD,GEORGE MASON DR"
1220,"INGLEWOOD LN,INGLEWOOD CT"
1221,"CORPORATE WOODS DR,GRAYSON RD"
1222,"23RD ST,PACIFIC AVE"
1223,"ABBOT RD,S KNOX RD"
1224,"TOTTERIDGE LN,WILLOW CROFT DR"
1225,"LYNN SHORES DR,HERON POINT CT"
2002,"MADEIRA RD,MAHARIS RD"
1226,"S PLAZA TRL,JOAN TER"
1227,"BILTMORE DR,BILTMORE CT"
2003,"GENERAL LONGSTREET DR,GENERAL STUART DR"
1228,"WELLER BLVD,LEDURA RD"
2004,"GREAT LAKES DR,VINDALE DR"
1229,"NORTHTREE CIR,NORTHTREE PL"
2005,"KRISTE CT,SANDYVILLE DR"
1230,"BAXTER RD,MULLIGAN DR"
2006,"33RD HALF ST,HOLLY RD"
1231,"LAKE CHRISTOPHER DR,MELHALL RD"
2007,"KEMPSVILLE RD,INDIAN RIVER RD"
1232,"CROW WING DR,TELAC CT"
2008,"SHORE DR,POWHATAN AVE,OCEAN TIDES DR"
1233,"RISING SUN ARCH,RISING SUN CT"
2009,"VIRGINIUS DR,SWEENEY RD"
1234,"GOTHAM RD,ROPE LN"
2010,"INTERNATIONAL PKWY,SEAHAWK CIR"
1235,"LAMPL AVE,MOORLAND DR"
2011,"WINTERBERRY LN,CHICORY ST"
1236,"GEORGE WYTHE DR,CHARLOTTE GRACE WAY"
2012,"BARKINGDALE DR,ARKLEY DR"
1237,"INLYNNVIEW RD,GENERAL HILL DR"
2013,"GLENN REGIS WAY,LYME REGIS QUAY"
1238,"FOXON RD,MELHALL RD"
2014,"MOATE CIR,ACLARE CT"
1239,"ABILENE LN,ADAIR DR"
1240,"CAMINO REAL SOUTH,CINTA CT"
2015,"HARLESDEN DR,ARKLEY DR"
2016,"LADY VICTORIA WAY,GENERAL ST,FENTON ST"
1241,"WICOMICO LN,CROWSFOOT LN"
2017,"TREESONG TRL,PAINTERS LN"
1242,"N BAY SHORE DR,WINDSOR RD"
2018,"EARL OF CHESTERFIELD LN,EARL OF BALFON CT,EARL OF BALFON CIR"
1243,"CATTINGHAM LN,TREYSON TRL"
2019,"W STRATFORD RD,THREE SHIPS LNDG"
