OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPElen
4426,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,86.467536
4427,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,81.218216
4428,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,149.425782
4429,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,119.299405
4430,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,10.083963
4431,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,158.129419
4432,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,178.015917
4433,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,71.709036
4434,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,51.39304
4435,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,32.656968
4436,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,56.661343
4437,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,84.606695
4438,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,69.357534
4439,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,21.412205
4440,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,82.591958
4441,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,187.024664
4442,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,226.56007
4443,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,72.561728
4444,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,222.806097
4445,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,96.923946
4446,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,43.191918
4447,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,40.853152
4448,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,50.355262
4449,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,119.326336
4450,Sea Wall,Aerial 2004,2009-07-21T11:26:33.000Z,2888.212183
4451,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,307.382942
4452,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,36.008497
4453,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,60.001725
4454,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,36.266741
4455,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,262.75747
4456,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,44.591051
4457,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,113.979612
4458,Sea Wall,Aerial 2004,2004-03-12T12:00:00.000Z,209.676197
