OBJECTID,PS_NAME,PS_POP2010,PS_HUNITS2010,PS_HHLDS2010,PS_UPD_DATE,PS_UPD_USER
11,ASHBU,89080,31488,30324,2012-01-23T14:48:35.000Z,0
12,DULLE,41226,13604,13051,2012-01-23T14:48:35.000Z,0
13,LSBG,56217,19523,18675,2012-01-23T14:48:35.000Z,0
14,NW,9633,3578,3332,2012-01-23T14:48:35.000Z,0
15,POTOM,45364,15851,15405,2012-01-23T14:48:35.000Z,0
16,Rt15N,4551,1588,1459,2012-01-23T14:48:35.000Z,0
17,Rt15S,3288,1277,1163,2012-01-23T14:48:35.000Z,0
18,Rt7W,21817,7440,7063,2012-01-23T14:48:35.000Z,0
19,STERL,34226,11953,11435,2012-01-23T14:48:35.000Z,0
20,SW,6909,3140,2676,2012-01-23T14:48:35.000Z,0
