Name: “Table 1 of 1 on page 32 of 48”,Name: “Table 1 of 1 on page 32 of 48”,Name: “Table 1 of 1 on page 32 of 48”,Name: “Table 1 of 1 on page 32 of 48”,Name: “Table 1 of 1 on page 32 of 48”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,
preCambrian-,,,570,2500
Proterozoic,,,,
Proterozoic,Late-,,570,900
,Proterozoic,,,
Proterozoic,Middle-,,900,1600
,Proterozoic,,,
Proterozoic,Middle-,Late-Middle-,900,1200
,Proterozoic,Proterozoic,,
Proterozoic,Middle-,Middle-Middle-,1200,1400
,Proterozoic,Proterozoic,,
Proterozoic,Middle-,Early-Middle-,1400,1600
,Proterozoic,Proterozoic,,
Proterozoic,Early-,,1600,2500
,Proterozoic,,,
Proterozoic,Early-,Late-Early-,1600,1800
,Proterozoic,Proterozoic,,
Proterozoic,Early-,Middle-Early-,1800,2100
,Proterozoic,Proterozoic,,
Proterozoic,Early-,Early-Early-,2100,2500
,Proterozoic,Proterozoic,,
Archean,,,2500,3800
preCambrian-,,,2500,3800
Archean,,,,
Archean,Late-,,2500,3000
,Archean,,,
Archean,Middle-,,3000,3400
,Archean,,,
Archean,Early-,,3400,3800
,Archean,,,
,,29,,
