code	r	g	b	text
1	253	244	63	Unconsolidated material
1.1	255	255	137	Alluvium
1.10	255	211	69	Silt
1.11	255	203	35	Sand
1.1.1	255	255	213	Flood plain
1.12	236	180	0	Gravel
1.1.2	255	250	233	Levee
1.1.3	255	250	200	Delta
1.1.4	255	255	183	Alluvial fan
1.1.5	250	238	122	Alluvial terrace
1.2	244	239	228	Lake or marine sediment
1.2.1	241	229	223	Playa
1.2.2	228	208	190	Mud flat
1.2.3	228	216	190	Beach sand
1.2.4	255	246	217	Terrace
1.3	224	197	158	Eolian material
1.3.1	224	210	180	Dune sand
1.3.2	219	204	169	Sand sheet
1.3.3	245	225	189	Loess
1.4	224	176	158	Volcanic ash
1.5	207	187	143	Mass wasting material
1.5.1	225	227	195	Colluvium
1.5.2	229	219	179	Mudflow
1.5.2.1	220	213	180	Lahar
1.5.3	211	202	159	Debris flow
1.5.4	201	190	137	Landslide
1.5.5	188	175	108	Talus
1.6	191	167	67	Glacial drift
1.6.1	210	194	124	Till
1.6.1.1	255	238	191	Moraine
1.6.2	255	229	157	Stratified glacial sediment
1.6.2.1	255	223	133	Glacial outwash sediment
1.6.2.2	254	230	112	Sub/supra-glacial sediment
1.6.2.3	254	226	88	Glaciolacustrine sediment
1.6.2.4	254	219	46	Glacial-marine sediment
1.7	247	243	161	Biogenic material
1.7.1	255	207	129	Peat
1.7.2	255	204	153	Coral
1.8	255	227	137	Residuum
1.9	255	219	103	Clay or mud
2	146	220	183	Sedimentary rock
2.1	217	253	211	Clastic rock
2.1.1	207	239	223	Mudstone
2.1.1.1	213	230	204	Claystone
2.1.1.1.1	192	208	192	Bentonite
2.1.1.2	172	228	200	Shale
2.1.1.2.1	219	254	188	Black shale
2.1.1.2.2	187	255	221	Oil shale
2.1.1.3	225	240	216	Argillite
2.1.1.4	214	254	154	Siltstone
2.1.2	149	255	202	Fine-grained mixed clastic rock
2.1.3	205	255	217	Sandstone
2.1.3.1	166	252	170	Arenite
2.1.3.1.1	203	239	206	Orthoquartzite
2.1.3.1.2	154	206	254	Calcarenite
2.1.3.2	105	207	156	Arkose
2.1.3.3	189	219	241	Wacke
2.1.3.3.1	184	234	195	Graywacke
2.1.4	144	165	101	Medium-grained mixed clastic rock
2.1.5	183	217	204	Conglomerate
2.1.6	167	186	134	Sedimentary breccia
2.1.7	165	170	173	Coarse-grained mixed clastic rock
2.1.8	141	190	205	Olistostrome
2.1.8.1	187	192	197	Mélange
2.2	86	224	252	Carbonate rock
2.2.1	67	175	249	Limestone
2.2.2	107	195	255	Dolostone
