X,Y,Available,Address,AddressZip,Name,BrownField,ContactURL,Phase,Voltage,EnvAuditI,EnvAuditII,FIPS,HubZone,ModifiedBy,OfficePark,OwnerName,OwnerPhone,OwnerEmail,SalePrice,Sale,Waterway,Wetlands,LAMBERT_X,LAMBERT_Y,OFFICIAL,TYPE,HYPERLINK,ACCURACY,Latitude,Longitude,TownFips,contact,Floor_Type,Lease_Type,recent_use,Roof_Type,Town,HeatedManu,OBJECTID,PropertyID,Proprty_ID_Text,PROPERTY_NO,GlobalID,AvailableDate,ClientID,ClientRecordID,ClientTimestamp,AddressStreet,AddressCity,AddressState,PropertyName,ContactID,ContactBrokerID,DEQStatusLetter,ElectricAmperageID,ResearchPark,ElectricProviderID,ElectricPhaseID,ElectricRedundant,ElectricSecondaryProviderID,ElectricVoltageID,FeaturedLocation,ForeignTradeZone,HighwayAccessName,HighwayArteryDistance,HighwayArteryName,HighwayInterchangeName,HighwayInterDistance,HighwayInterName,IndustrialPark,ModifiedDate,NaturalGasDistance,NaturalGasProviderID,NaturalGasOnSite,NaturalGasLineSize,NaturalGasPressure,NaturalGasPropaneEquipped,NatureOfContamination,NewMarketTaxCreditZone,PropertyType,PubliclyOwned,PublicTransportationName,RailroadDistance,RailroadID,RailroadSecondID,RailroadSiding,RailAccess,RemediationPlan,SewerAvailableCapacityToProp,SewerLineSize,SewerOnSiteTreatmentPlant,SewerProviderDistance,SewerProviderID,SewerTreatmentPlantTotalCap,SewerOnSite,SepticCapacity,SepticSystem,ShowOnVAScan,SubmittedBy,SubmittedDate,TechnologyZone,TelecommDigital,TelecommFiber,TelecommFiberOpticLine,TelecommISDN,TelecommOther,TelecommRedundantRoute,TelecommWirelessBroadband,TelecommBroadbandLevel,TownCommunityID,VAEnterpriseZone,WaterAvailableCapacityToProp,WaterProviderDistance,WaterProviderID,WaterLineSize,WaterOnSiteTreatmentPlant,WaterTankCapacity,WaterTreatmentPlantTotalCap,WaterwayChannelDepth,WaterwayName,WellCapacity,WithinCorporateLimits,ZoningConform,ZoningRestrictions,ZoningClassification,ZoningRestrictionsText,brokercontact,LocalityName,GasProvider,WaterProvider,TelecommProvider,SewerProvider,electricprovider,secondaryelectricprovider,Amps,AirportCommDistance,AirportCommercial,AirportGenDistance,AirportGeneral,RailProviderName,SecondaryRailProviderName,Sprinkler_Type,VirtualVARegionID,ConstructionType,HeatedWarehouse,SpaceTotalAvailable,CeilingHeightCenter,industrialceilingheight,officeceilingheight,LargestContParcel,AcreageTotal,imageURL,thumbnailURL
-78.161953702412006,39.19371354782372,1,605-625 N. Loudoun St.,22601,605-625 N. Loudoun St.,0,,,,0,0,51840,0,MMende,0,Winchester Cold Storage,,,,0,0,0,115577.799923,355286.00011,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=235659,3,39.193706,-78.161951,,"Schenck, Tyler",Concrete,Triple Net          ,Manufacturing/Distribution,,,,4,235659,235659,20208B,{E6B124FB-A315-4870-815B-9C57E90A5676},,,,,605-625 N. Loudoun St.,Winchester,VA,605-625 N. Loudoun St.,171,,0,,0,50,,1,,,0,0,N. Loudoun St.,6.4,Rt. 37,,2,I-81,0,2014-11-25T17:08:26.000Z,0,23,1,0,,0,,1,Industrial,0,,0,,,0,0,0,,0,0,0,242,,1,,0,1,June Wilmot,1997-04-10T00:00:00.000Z,0,0,1,,0,,1,0,,,1,,0,270,0,0,,,,,,1,0,0,Light Industrial,,,Winchester,Washington Gas (Shenandoah Station),Frederick County Sanitation Authority,Verizon,Frederick County Sanitation Authority,Shenandoah Valley Electric Cooperative,,,52.2,Washington Dulles International Airport,5,Winchester Regional Airport,,,,7,Brick,,488600,18,18,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=120319,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=120319
-78.886983287438511,38.062425949696866,1,200 W 12th Street,22980,South River Mill,0,,3,,0,0,51820,0,jhollen,0,"South River Partners, LLC",,,,0,0,0,53784.499833,229071.200087,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=235472,3,38.062418,-78.88698,,"Hitchin, Gregory",Mixed,,MIXED,Shingle & Metal,,,5,235472,235472,20002B,{B4DA0720-6BCE-4DE7-9B2D-8E21AB3285C1},,,,,200 W 12th Street,Waynesboro,VA,South River Mill,5954,,0,,0,53,3,0,,,0,0,12th Street,1,U.S. Route 340,Waynesboro Exit 96,2,I-64,0,2015-01-08T11:57:20.000Z,0,5,1,6,,0,,0,Flex,0,,,,,0,0,0,,8,0,0,231,,1,,0,1,Brent Frank,1992-09-09T00:00:00.000Z,0,0,0,,0,Broadband Speed High- 6 Mbps or higher,0,1,,,1,,0,257,8,0,,,,,,1,1,0,PVD,,"Jones, Greg",Waynesboro,Columbia Gas of Virginia,City of Waynesboro,nTelos,City of Waynesboro,Dominion Virginia Power,,,12.6,Shenandoah Valley Regional Airport,5,Waynesboro/Eagles Nest Airport,,,Dry,6,Brick,,300000,20,12,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=121938,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=121938
-79.092349396003456,38.148022429774535,1,600 Hays Avenue,24401,Livia Properties Building,0,,,,0,0,51790,0,jhollen,0,Olivia Welsh,,,,1,0,0,35724.599903,238470.599941,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=235489,1,38.148015,-79.092347,,"Robinson, Courtland",Concrete,Triple Net          ,Manufacturing/Warehouse,Rubber Membrane,,,18,235489,235489,20022B,{B554F3FE-C738-4BAA-84BD-E2ABFB445560},,,,,600 Hays Avenue,Staunton,VA,Livia Properties Building,329,,0,,0,53,,0,,,0,0,Hays Avenue,1.5,U.S. Route 11,Exit 220,3.5,I-76,0,2015-02-12T09:31:10.000Z,100,5,0,4,,0,,1,Industrial,0,,0,2,,1,1,0,,8,0,0,229,,1,,0,1,John Loftus,,0,0,0,,0,,0,1,,,0,,0,255,8,0,,,,,,1,1,0,"I-2, Heavy Industry",,"Collins, Christopher ""Kit""",Staunton,Columbia Gas of Virginia,City of Staunton,nTelos,City of Staunton,Dominion Virginia Power,,,20,Shenandoah Valley Regional Airport,15,Shenandoah Valley Regional Airport,CSX Transportation,,Dry,6,Masonry,,217000,24,20,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=123117,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=123117
-82.553584300839262,36.622912519494385,1,101 Jennings Street,24290,Farmers Warehouse 1,0,,3,440,0,0,51169,0,MMende,0,"Scott County Tobacco Warehouses, Inc.",,,,0,0,0,-273135.700038,73650.500044,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=235442,3,36.622905,-82.55358,51482,"Belcher, Jonathan",Concrete,,Warehouse,Metal,Weber city,,22,235442,235442,10176B,{C9DD999D-D232-45EB-88D6-7CF95C36CB6C},,,,,101 Jennings Street,Weber City,VA,Farmers Warehouse 1,3853,2596,0,,0,72,3,0,,101,0,0,Jennings Street,0.2,U.S. Route 23,,4,I-26,0,2015-01-27T08:04:30.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,1300000,4,0,0,266,,1,,0,1,Michael A. Cozart,1996-10-03T00:00:00.000Z,0,0,0,,0,,1,1,,25,1,750000,0,293,4,0,,,,,,1,0,0,None,,"Cozart, Jim",Scott,Not Available,Scott County Public Service Authority,Scott County Telephone Cooperative,Scott County Public Service Authority,Appalachian Power,,,20,Tri-Cities Regional Airport,20,Tri-Cities Regional Airport,,,,1,Metal & Wood,,130000,18,12,,,,,
-82.552587085731105,36.62374136686303,1,102 Jennings Street,24290,Big Star Building 1,0,,3,440,0,0,51169,0,MMende,0,"Scott County Tobacco Warehouses, Inc.",,,,0,0,0,-273043.499871,73739.499842,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=237192,3,36.623734,-82.552583,51482,"Belcher, Jonathan",Concrete,,Warehouse,Metal,Weber city,,23,237192,237192,10177B,{550F7C22-CDC9-4856-B66C-613AD5AD28C9},,,,,102 Jennings Street,Weber City,VA,Big Star Building 1,3853,2596,0,,0,72,3,0,,101,0,0,Jennings Street,0.2,U.S. Route 23,,4,I-26,0,2015-01-27T08:00:09.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,,4,0,0,266,,1,,0,1,Charles Yates,1996-10-03T00:00:00.000Z,0,0,0,,0,,1,1,,25,1,,0,293,4,0,,,,,,1,0,0,None,,"Cozart, Jim",Scott,Not Available,Scott County Public Service Authority,Scott County Telephone Cooperative,Scott County Public Service Authority,Appalachian Power,,,20,Tri-Cities Regional Airport,20,Tri-Cities Regional Airport,,,,1,Masonry & Metal,,90000,16,12,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=122431,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=122431
-82.551860044208894,36.625569981888255,1,144 Warehouse St,24290,Cozart Warehouse,0,,3,440,0,0,51169,0,MMende,0,Scott County Tobacco Warehouses Inc,,,,0,0,0,-272971.800008,73940.200061,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=237188,3,36.625563,-82.551856,51482,"Belcher, Jonathan",Concrete,,Manufacturing,Metal,Weber city,,25,237188,237188,10109B,{91BFC380-7BD2-479B-8E19-15B628248D25},90 days,,,,144 Warehouse St,Weber City,VA,Cozart Warehouse,3853,2596,0,,0,72,3,0,,101,0,0,Legion Street,0.2,U.S. Route 23,,4,I-26,0,2015-01-27T08:00:51.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,,8,0,0,266,,1,,0,1,Ed Cozart,1996-06-05T00:00:00.000Z,0,0,0,,0,,1,1,,25,0,,0,293,8,0,,,,,,1,1,0,Light Industrial,,"Cozart, Jim",Scott,Not Available,Scott County Public Service Authority,Scott County Telephone Cooperative,Scott County Public Service Authority,Appalachian Power,,,20,Tri-Cities Regional Airport,20,Tri-Cities Regional Airport,,,,1,Masonry & Metal,,89000,16,12,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=122434,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=122434
-82.55019424027725,36.626323732183081,1,Baltic Street,24290,Cozart Building A,0,,3,440,0,0,51169,0,MMende,0,James E. Cozart,,,,0,0,0,-272820.100086,74018.899916,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=237189,3,36.626317,-82.55019,51482,"Belcher, Jonathan",Concrete,,Warehouse,Metal,Weber city,,26,237189,237189,10175B,{8CC214B0-7381-4E22-94E8-3A044A6A1C6B},,,,,Baltic Street,Weber City,VA,Cozart Building A,3853,2596,0,,0,72,3,0,,101,0,0,Baltic Street,0.2,U.S. Route 23,,4,I-26,0,2015-01-27T08:00:41.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,,4,0,0,266,,1,,0,1,Michael A. Cozart,1996-06-17T00:00:00.000Z,0,0,0,,0,,1,1,,25,1,,0,293,4,0,,,,,,1,0,0,None,,"Cozart, Jim",Scott,Not Available,Scott County Public Service Authority,Scott County Telephone Cooperative,Scott County Public Service Authority,Appalachian Power,,,20,Tri-Cities Regional Airport,20,Tri-Cities Regional Airport,,,,1,Metal & Wood,,148000,15,12,,,,,
-82.550846753787582,36.627018560699689,1,Baltic Street,24290,Cozart Building B and C,0,,3,440,0,0,51169,0,MMende,0,James E. Cozart,,,,0,0,0,-272875.900153,74097.899927,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=237191,3,36.627011,-82.550843,51482,"Belcher, Jonathan",Concrete,Triple Net          ,Warehouse,Metal,Weber city,,27,237191,237191,10174B,{DD55D147-2A7E-44F4-892B-35CE9BF4E76C},,,,,Baltic Street,Weber City,VA,Cozart Building B and C,3853,2596,0,,0,72,3,0,,101,0,0,Baltic Street,0.2,U.S. Route 23,,4,I-26,0,2015-01-27T08:00:31.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,,4,0,0,266,,1,,0,1,Michael A. Cozart,1996-06-17T00:00:00.000Z,0,0,0,,0,,1,1,,25,1,,0,293,4,0,,,,,,1,0,0,None,,"Cozart, Jim",Scott,Not Available,Scott County Public Service Authority,Scott County Telephone Cooperative,Scott County Public Service Authority,Appalachian Power,,,20,Tri-Cities Regional Airport,20,Tri-Cities Regional Airport,,,,1,Metal,,10000,18,12,,,,,
-78.422188099513249,37.316454438514306,1,100 Industrial Park Road,23901,STEPS Building,0,,3,15 KV,1,0,51147,1,MMende,0,"Steps, Inc.",,,,1,0,1,95526.899995,146668.600012,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=235900,3,37.316447,-78.422185,51365,"Carney, Sharon Lee",Concrete,,Manufacturing/Warehouse,Membrane,Farmville,Steam,44,235900,235900,30244B,{1CB9DB39-B538-48ED-8680-5A7FDC5055C1},,,,,100 Industrial Park Road,Farmville,VA,STEPS Building,3236,3236,0,11,0,53,3,0,,74,0,0,Industrial Park Road,1.5,U.S. Route 460,,60,"I-85,I-95",1,2015-01-27T16:10:21.000Z,0,25,0,0,,0,,1,Industrial,0,,0,,,0,0,0,,6,0,0,290,,1,,0,1,Sarah Elam,1997-03-11T00:00:00.000Z,0,0,1,0,0,,0,0,,105,1,,0,324,8,0,,,,,,1,1,0,Commercial/Manufacturing,,,Prince Edward,Not Available,Town of Farmville,CenturyLink,Town of Farmville,Dominion Virginia Power,,400,60,Richmond International Airport,10,Farmville Regional Airport,,,,14,Tilt-up Masonry,Steam,73218,13,12,,,,,
-79.881030056956703,36.656053902613934,1,1353 Yale Street,24112,Hooker Furniture Cloverleaf Warehouse,0,,3,480/277,0,0,51089,1,MMende,0,Hooker Furniture Corporation,,,2500000,1,0,0,-33842.600054,72808.399911,1,I,http://virginiascan.yesvirginia.org/site_selection/PropertyDetails.aspx?PropertyID=237149,1,36.655301,-79.878448,,"Heath, Mark",Concrete,Net,warehouse/office,Rubber Membrane,,Gas Supplied Steam,111,237149,237149,30187B,{57731C33-5A7E-4661-BE25-3C0B2B639340},8/1/2013,,,,1353 Yale Street,Martinsville,VA,Hooker Furniture Cloverleaf Warehouse,4767,,0,45,0,72,3,0,,112,0,0,Yale Street,0.25,U.S. Route 220,,50,I-40,1,2013-12-10T13:56:19.000Z,0,9,1,0,,0,,1,Industrial,0,,,,,0,0,0,,6,0,0,224,,1,,0,1,Michelle Mende,1994-12-07T00:00:00.000Z,1,1,0,3000,1,,0,0,,,1,,0,246,8,0,,,,,,0,1,0,Industrial,,"Faris, Doug",Henry,Southwestern Virginia Gas Company,City of Martinsville,CenturyLink,City of Martinsville,Appalachian Power,,6000,50,Piedmont Triad International Airport,10,Blue Ridge Airport,,,Wet,12,Masonry,Gas Supplied Steam,189200,20,19,,,,http://virginiascan.yesvirginia.org/GetBinary.aspx?id=106705,http://virginiascan.yesvirginia.org/GetThumbnail.aspx?width=130&Height=130&id=106705
